----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<booleanExpression>
~                        	13   	TK_NOT         	(null)    	<booleanExpression>      	yes   	(null)
(                        	13   	TK_OP          	(null)    	<booleanExpression>      	yes   	(null)
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<logicalOp>
&&&                      	13   	TK_AND         	(null)    	<logicalOp>              	yes   	(null)
(                        	13   	TK_OP          	(null)    	<booleanExpression>      	yes   	(null)
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<var>
c4bbb                    	13   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	13   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	13   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<relationalOp>
>                        	13   	TK_GT          	(null)    	<relationalOp>           	yes   	(null)
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<booleanExpression>
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<var>
78.56                    	13   	TK_RNUM        	78.56     	<var>                    	yes   	(null)
----                     	13   	(null)         	(null)    	<conditionalStmt>        	no    	<booleanExpression>
(                        	13   	TK_OP          	(null)    	<booleanExpression>      	yes   	(null)
if                       	13   	TK_IF          	(null)    	<conditionalStmt>        	yes   	(null)
if                       	13   	TK_IF          	(null)    	<conditionalStmt>        	yes   	(null)
----                     	13   	(null)         	(null)    	<conditionalStmt>        	no    	<stmt>
c6                       	15   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	15   	(null)         	(null)    	<assignmentStmt>         	no    	<singleOrRecId>
----                     	15   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
c6                       	15   	TK_ID          	(null)    	<assignmentStmt>         	yes   	(null)
----                     	15   	(null)         	(null)    	<term>                   	no    	<factor>
----                     	15   	(null)         	(null)    	<factor>                 	no    	<var>
d4cbcd5677               	15   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	15   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	15   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
----                     	15   	(null)         	(null)    	<arithmeticExpression>   	no    	<term>
----                     	15   	(null)         	(null)    	<termPrime>              	no    	<highPrecedenceOperators>
/                        	15   	TK_DIV         	(null)    	<highPrecedenceOperators>	yes   	(null)
----                     	15   	(null)         	(null)    	<termPrime>              	no    	<factor>
----                     	15   	(null)         	(null)    	<factor>                 	no    	<var>
c4bbb                    	15   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	15   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	15   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
----                     	15   	(null)         	(null)    	<term>                   	no    	<termPrime>
----                     	15   	(null)         	(null)    	<termPrime>              	no    	<termPrime>
----                     	15   	(null)         	(null)    	<assignmentStmt>         	no    	<arithmeticExpression>
----                     	15   	(null)         	(null)    	<arithmeticExpression>   	no    	<expPrime>
----                     	15   	(null)         	(null)    	<stmt>                   	no    	<assignmentStmt>
c6                       	15   	TK_ID          	(null)    	<assignmentStmt>         	yes   	(null)
----                     	13   	(null)         	(null)    	<conditionalStmt>        	no    	<otherStmts>
----                     	13   	(null)         	(null)    	<stmt>                   	no    	<conditionalStmt>
else                     	16   	TK_ELSE        	(null)    	<elsePart>               	yes   	(null)
----                     	16   	(null)         	(null)    	<elsePart>               	no    	<stmt>
write                    	17   	TK_WRITE       	(null)    	<ioStmt>                 	yes   	(null)
write                    	17   	TK_WRITE       	(null)    	<ioStmt>                 	yes   	(null)
----                     	17   	(null)         	(null)    	<ioStmt>                 	no    	<var>
c4bbb                    	17   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	17   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	17   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
write                    	17   	TK_WRITE       	(null)    	<ioStmt>                 	yes   	(null)
----                     	17   	(null)         	(null)    	<stmt>                   	no    	<ioStmt>
write                    	17   	TK_WRITE       	(null)    	<ioStmt>                 	yes   	(null)
----                     	16   	(null)         	(null)    	<elsePart>               	no    	<otherStmts>
----                     	13   	(null)         	(null)    	<conditionalStmt>        	no    	<elsePart>
else                     	16   	TK_ELSE        	(null)    	<elsePart>               	yes   	(null)
----                     	12   	(null)         	(null)    	<otherStmts>             	no    	<otherStmts>
----                     	13   	(null)         	(null)    	<otherStmts>             	no    	<otherStmts>
----                     	6    	(null)         	(null)    	<function>               	no    	<stmts>
return                   	20   	TK_RETURN      	(null)    	<returnStmt>             	yes   	(null)
[                        	20   	TK_SQL         	(null)    	<optionalReturn>         	yes   	(null)
c6                       	20   	TK_ID          	(null)    	<idList>                 	yes   	(null)
----                     	20   	(null)         	(null)    	<optionalReturn>         	no    	<idList>
----                     	20   	(null)         	(null)    	<idList>                 	no    	<more_ids>
----                     	20   	(null)         	(null)    	<returnStmt>             	no    	<optionalReturn>
[                        	20   	TK_SQL         	(null)    	<optionalReturn>         	yes   	(null)
----                     	8    	(null)         	(null)    	<stmts>                  	no    	<returnStmt>
return                   	20   	TK_RETURN      	(null)    	<returnStmt>             	yes   	(null)
----                     	6    	(null)         	(null)    	<otherFunctions>         	no    	<function>
_computeFunctionValue    	6    	TK_FUNID       	(null)    	<function>               	yes   	(null)
----                     	0    	(null)         	(null)    	ROOT                     	no    	<program>
_main                    	25   	TK_MAIN        	(null)    	<mainFunction>           	yes   	(null)
----                     	26   	(null)         	(null)    	<stmts>                  	no    	<typeDefinitions>
type                     	26   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	26   	(null)         	(null)    	<declaration>            	no    	<dataType>
----                     	26   	(null)         	(null)    	<dataType>               	no    	<primitiveDatatype>
int                      	26   	TK_INT         	(null)    	<primitiveDatatype>      	yes   	(null)
type                     	26   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
